日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2,CO-W,FSP-W,date
1/9/2019,1,中環,71,8,17,22,61,11,4,60,13,2019/9/1
1/9/2019,2,中環,73,13,23,33,56,17,4,54,12,2019/9/2
1/9/2019,3,中環,73,18,23,32,55,24,4,52,11,2019/9/3
1/9/2019,4,中環,83,15,21,30,51,21,4,44,12,2019/9/4
1/9/2019,5,中環,73,8,18,27,50,13,4,47,9,2019/9/5
1/9/2019,6,中環,72,7,25,41,46,12,4,51,9,2019/9/6
1/9/2019,7,中環,72,14,35,65,36,20,4,46,10,2019/9/7
1/9/2019,8,中環,75,11,44,87,29,17,5,43,13,2019/9/8
1/9/2019,9,中環,79,11,57,126,22,18,6,46,11,2019/9/9
1/9/2019,10,中環,85,14,66,144,25,21,6,47,11,2019/9/10
1/9/2019,11,中環,86,15,78,171,27,23,6,49,14,2019/9/11
1/9/2019,12,中環,84,21,70,143,35,30,6,50,14,2019/9/12
1/9/2019,13,中環,81,18,60,126,35,26,6,51,13,2019/9/13
1/9/2019,14,中環,78,11,51,120,39,16,6,46,14,2019/9/14
1/9/2019,15,中環,76,10,37,77,46,14,5,54,11,2019/9/15
1/9/2019,16,中環,74,13,41,78,43,18,5,45,13,2019/9/16
1/9/2019,17,中環,70,5,43,101,28,10,5,41,10,2019/9/17
1/9/2019,18,中環,69,6,41,93,26,11,5,41,7,2019/9/18
1/9/2019,19,中環,74,9,41,83,30,14,5,54,7,2019/9/19
1/9/2019,20,中環,75,7,38,84,29,12,5,46,9,2019/9/20
1/9/2019,21,中環,83,6,47,113,23,12,5,49,12,2019/9/21
1/9/2019,22,中環,69,9,31,64,31,16,4,43,12,2019/9/22
1/9/2019,23,中環,65,7,29,68,27,14,4,39,8,2019/9/23
1/9/2019,24,中環,64,9,25,54,27,16,4,42,6,2019/9/24
2/9/2019,1,中環,61,9,15,27,31,16,4,40,5,2019/9/25
2/9/2019,2,中環,60,9,15,27,32,16,4,37,3,2019/9/26
2/9/2019,3,中環,60,9,13,22,29,16,4,39,3,2019/9/27
2/9/2019,4,中環,62,9,11,21,26,16,4,36,2,2019/9/28
2/9/2019,5,中環,61,9,10,17,25,16,4,46,3,2019/9/29
2/9/2019,6,中環,62,2,11,20,23,8,4,45,3,2019/9/30
2/9/2019,7,中環,67,6,20,48,14,14,4,41,7,2019/10/1
2/9/2019,8,中環,69,6,27,80,11,14,4,47,6,2019/10/2
2/9/2019,9,中環,75,8,45,158,8,15,6,54,9,2019/10/3
2/9/2019,10,中環,79,11,48,161,9,19,6,51,9,2019/10/4
2/9/2019,11,中環,79,6,49,137,15,12,6,46,10,2019/10/5
2/9/2019,12,中環,82,8,66,200,15,15,7,46,9,2019/10/6
2/9/2019,13,中環,91,12,55,187,10,18,6,53,10,2019/10/7
2/9/2019,14,中環,87,11,51,163,10,15,6,57,15,2019/10/8
2/9/2019,15,中環,89,8,48,165,9,16,7,59,14,2019/10/9
2/9/2019,16,中環,80,8,47,166,9,15,6,53,13,2019/10/10
2/9/2019,17,中環,79,9,46,164,8,16,6,57,12,2019/10/11
2/9/2019,18,中環,83,7,52,182,8,13,7,62,11,2019/10/12
2/9/2019,19,中環,87,17,75,301,7,21,8,54,13,2019/10/13
2/9/2019,20,中環,90,10,53,195,8,16,7,62,11,2019/10/14
2/9/2019,21,中環,84,8,54,145,13,14,6,50,11,2019/10/15
2/9/2019,22,中環,80,10,41,81,27,18,5,44,10,2019/10/16
2/9/2019,23,中環,73,15,30,60,37,21,5,42,11,2019/10/17
2/9/2019,24,中環,73,10,35,70,33,18,5,38,10,2019/10/18
3/9/2019,1,中環,69,15,20,37,36,23,5,34,10,2019/10/19
3/9/2019,2,中環,64,2,18,29,40,8,5,30,7,2019/10/20
3/9/2019,3,中環,66,4,13,23,42,11,4,30,6,2019/10/21
3/9/2019,4,中環,64,5,12,20,43,10,4,33,3,2019/10/22
3/9/2019,5,中環,73,8,15,26,44,13,4,37,5,2019/10/23
3/9/2019,6,中環,87,4,18,29,36,9,4,36,7,2019/10/24
3/9/2019,7,中環,76,4,31,63,19,10,5,42,9,2019/10/25
3/9/2019,8,中環,78,12,54,158,9,18,6,48,10,2019/10/26
3/9/2019,9,中環,89,18,79,291,7,24,9,44,11,2019/10/27
3/9/2019,10,中環,93,15,89,313,10,20,10,42,13,2019/10/28
3/9/2019,11,中環,91,15,76,205,16,21,7,45,10,2019/10/29
3/9/2019,12,中環,87,7,70,175,23,14,6,49,12,2019/10/30
3/9/2019,13,中環,82,9,64,151,28,15,5,47,13,2019/10/31
3/9/2019,14,中環,82,13,62,129,38,19,5,50,15,2019/11/1
3/9/2019,15,中環,80,11,71,136,43,18,6,44,15,2019/11/2
3/9/2019,16,中環,78,12,71,134,44,19,6,56,13,2019/11/3
3/9/2019,17,中環,78,12,66,122,37,20,5,59,16,2019/11/4
3/9/2019,18,中環,82,11,73,174,23,20,6,63,14,2019/11/5
3/9/2019,19,中環,88,19,101,260,17,27,8,68,16,2019/11/6
3/9/2019,20,中環,88,17,69,162,23,26,6,68,19,2019/11/7
3/9/2019,21,中環,83,14,53,121,32,22,6,66,17,2019/11/8
3/9/2019,22,中環,82,17,49,78,40,23,4,56,15,2019/11/9
3/9/2019,23,中環,75,8,41,69,36,14,4,53,12,2019/11/10
3/9/2019,24,中環,74,3,40,57,49,10,4,59,13,2019/11/11
4/9/2019,1,中環,75,8,38,56,39,12,4,56,13,2019/11/12
4/9/2019,2,中環,75,8,36,55,34,15,4,47,13,2019/11/13
4/9/2019,3,中環,71,10,24,43,28,18,4,49,6,2019/11/14
4/9/2019,4,中環,65,12,17,28,29,16,4,57,3,2019/11/15
4/9/2019,5,中環,72,8,28,55,20,13,4,48,3,2019/11/16
4/9/2019,6,中環,75,2,22,42,25,6,4,57,3,2019/11/17
4/9/2019,7,中環,70,7,30,68,20,11,4,45,2,2019/11/18
4/9/2019,8,中環,73,3,42,122,12,7,5,52,6,2019/11/19
4/9/2019,9,中環,84,2,65,250,8,6,7,46,8,2019/11/20
4/9/2019,10,中環,93,5,65,250,8,10,7,65,9,2019/11/21
4/9/2019,11,中環,110,5,64,249,8,7,7,50,7,2019/11/22
4/9/2019,12,中環,92,11,68,230,12,13,7,51,7,2019/11/23
4/9/2019,13,中環,87,4,64,174,21,8,6,47,9,2019/11/24
4/9/2019,14,中環,85,6,60,134,31,9,6,59,13,2019/11/25
4/9/2019,15,中環,84,15,63,149,29,19,6,64,15,2019/11/26
4/9/2019,16,中環,75,6,56,134,28,11,6,60,14,2019/11/27
4/9/2019,17,中環,82,5,61,143,24,10,6,53,9,2019/11/28
4/9/2019,18,中環,86,9,70,212,14,13,7,67,11,2019/11/29
4/9/2019,19,中環,85,11,61,158,17,15,7,70,10,2019/11/30
4/9/2019,20,中環,88,10,63,155,18,12,6,69,10,2019/12/1
4/9/2019,21,中環,93,11,45,94,23,14,6,63,10,2019/12/2
4/9/2019,22,中環,100,7,44,96,20,10,5,62,10,2019/12/3
4/9/2019,23,中環,81,5,44,94,18,7,5,57,8,2019/12/4
4/9/2019,24,中環,81,11,43,85,19,14,5,61,8,2019/12/5
