tem,glnonfil,temnorth,temsouth,,,
-0.675,-0.671,-0.901,-0.449,,,
-0.333,-0.296,-0.151,-0.516,,,
-0.591,-0.699,-0.503,-0.679,,,
-0.589,-0.508,-0.673,-0.504,,,
-0.508,-0.329,-0.607,-0.409,,,
-0.344,-0.237,-0.193,-0.495,,,
-0.16,-0.13,-0.062,-0.258,,,
-0.208,-0.207,0.016,-0.431,,,
-0.385,-0.357,-0.318,-0.452,,,
-0.533,-0.442,-0.752,-0.315,,,
-0.283,-0.15,-0.564,-0.001,,,
-0.404,-0.239,-0.521,-0.286,,,
-0.201,-0.222,-0.045,-0.357,,,
-0.469,-0.328,-0.502,-0.437,,,
-0.646,-0.408,-1.007,-0.285,,,
-0.542,-0.465,-0.689,-0.395,,,
-0.198,-0.28,-0.112,-0.284,,,
-0.137,-0.247,0.052,-0.326,,,
-0.097,-0.163,-0.054,-0.14,,,
-0.102,-0.17,-0.006,-0.197,,,
-0.091,-0.062,0.088,-0.271,,,
-0.008,-0.053,0.058,-0.075,,,
-0.082,-0.025,-0.21,0.046,,,
-0.228,-0.048,-0.206,-0.249,,,
-0.375,-0.3,-0.353,-0.397,,,
-0.477,-0.445,-0.483,-0.471,,,
-0.56,-0.488,-0.676,-0.443,,,
-0.585,-0.568,-0.719,-0.452,,,
-0.127,-0.196,-0.029,-0.226,,,
-0.084,-0.056,-0.021,-0.146,,,
0.005,0.068,-0.012,0.022,,,
-0.136,-0.194,-0.056,-0.216,,,
-0.002,-0.093,-0.02,0.017,,,
-0.172,-0.197,-0.07,-0.275,,,
-0.305,-0.196,-0.578,-0.033,,,
0.065,0.114,0.188,-0.058,,,
-0.233,-0.125,-0.048,-0.417,,,
-0.404,-0.296,-0.42,-0.387,,,
-0.28,-0.222,-0.505,-0.056,,,
-0.386,-0.319,-0.456,-0.317,,,
-0.268,-0.252,-0.163,-0.373,,,
-0.142,-0.138,0.024,-0.309,,,
-0.083,-0.048,0.067,-0.234,,,
-0.057,-0.139,0.097,-0.211,,,
-0.25,-0.366,-0.195,-0.305,,,
-0.392,-0.353,-0.382,-0.401,,,
-0.411,-0.265,-0.602,-0.221,,,
-0.337,-0.453,-0.362,-0.313,,,
-0.381,-0.321,-0.458,-0.305,,,
-0.361,-0.252,-0.422,-0.3,,,
-0.243,-0.224,-0.085,-0.4,,,
-0.334,-0.367,-0.311,-0.356,,,
-0.291,-0.218,-0.194,-0.387,,,
-0.299,-0.202,-0.35,-0.249,,,
-0.179,-0.24,0.067,-0.424,,,
-0.239,-0.148,0.051,-0.53,,,
-0.217,-0.118,-0.123,-0.31,,,
-0.095,-0.18,0.167,-0.357,,,
-0.41,-0.375,-0.282,-0.539,,,
-0.45,-0.378,-0.159,-0.742,,,
-0.159,-0.187,0.003,-0.322,,,
-0.313,-0.375,-0.371,-0.256,,,
-0.344,-0.277,-0.354,-0.334,,,
-0.218,-0.25,0.066,-0.502,,,
-0.388,-0.366,-0.237,-0.538,,,
-0.333,-0.294,-0.176,-0.49,,,
-0.333,-0.274,-0.214,-0.452,,,
-0.2,-0.152,-0.148,-0.251,,,
-0.271,-0.301,-0.326,-0.215,,,
-0.195,-0.159,-0.121,-0.27,,,
-0.389,-0.264,-0.449,-0.33,,,
-0.42,-0.466,-0.621,-0.219,,,
-0.076,-0.111,0.026,-0.177,,,
-0.337,-0.298,-0.381,-0.293,,,
-0.358,-0.38,-0.508,-0.207,,,
-0.316,-0.347,-0.244,-0.388,,,
-0.285,-0.171,-0.224,-0.347,,,
-0.214,-0.238,-0.09,-0.338,,,
-0.225,-0.346,-0.273,-0.176,,,
-0.238,-0.304,-0.274,-0.202,,,
-0.388,-0.366,-0.369,-0.408,,,
-0.438,-0.39,-0.488,-0.388,,,
-0.552,-0.571,-0.691,-0.413,,,
-0.418,-0.525,-0.487,-0.348,,,
-0.495,-0.495,-0.673,-0.317,,,
-0.435,-0.348,-0.418,-0.452,,,
-0.479,-0.574,-0.464,-0.493,,,
-0.644,-0.623,-0.738,-0.551,,,
-0.659,-0.49,-0.733,-0.585,,,
-0.304,-0.324,-0.199,-0.409,,,
-0.411,-0.484,-0.254,-0.569,,,
-0.369,-0.319,-0.216,-0.522,,,
-0.38,-0.363,-0.338,-0.422,,,
-0.473,-0.42,-0.501,-0.444,,,
-0.685,-0.586,-0.76,-0.611,,,
-0.274,-0.233,-0.124,-0.423,,,
-0.295,-0.381,-0.123,-0.468,,,
-0.477,-0.578,-0.602,-0.351,,,
-0.548,-0.487,-0.566,-0.529,,,
-0.428,-0.508,-0.3,-0.556,,,
-0.532,-0.577,-0.388,-0.677,,,
-0.38,-0.453,-0.287,-0.472,,,
-0.336,-0.263,-0.24,-0.431,,,
-0.278,-0.235,-0.335,-0.22,,,
-0.283,-0.275,-0.376,-0.19,,,
-0.289,-0.186,-0.176,-0.401,,,
-0.366,-0.48,-0.426,-0.305,,,
-0.455,-0.407,-0.483,-0.426,,,
-0.381,-0.302,-0.338,-0.425,,,
-0.344,-0.2,-0.32,-0.367,,,
-0.314,-0.306,-0.264,-0.364,,,
-0.157,-0.152,-0.083,-0.231,,,
-0.152,-0.172,-0.014,-0.29,,,
-0.25,-0.186,-0.129,-0.371,,,
-0.312,-0.29,-0.268,-0.357,,,
-0.245,-0.138,-0.143,-0.346,,,
-0.394,-0.434,-0.387,-0.401,,,
-0.255,-0.272,-0.278,-0.232,,,
-0.288,-0.263,-0.251,-0.324,,,
-0.284,-0.266,-0.498,-0.071,,,
-0.391,-0.177,-0.577,-0.204,,,
-0.468,-0.371,-0.64,-0.296,,,
-0.786,-0.446,-1.268,-0.305,,,
-0.306,-0.23,-0.331,-0.281,,,
-0.364,-0.251,-0.279,-0.449,,,
-0.211,-0.211,-0.104,-0.318,,,
-0.185,-0.228,-0.099,-0.271,,,
-0.114,-0.218,-0.023,-0.206,,,
-0.131,-0.115,-0.014,-0.249,,,
-0.346,-0.296,-0.272,-0.42,,,
-0.605,-0.474,-0.822,-0.388,,,
-0.774,-0.583,-1.08,-0.469,,,
-0.918,-0.724,-1.383,-0.454,,,
-0.625,-0.405,-0.662,-0.588,,,
-0.416,-0.413,-0.394,-0.437,,,
-0.386,-0.369,-0.548,-0.225,,,
-0.661,-0.697,-0.517,-0.805,,,
-0.252,-0.205,-0.103,-0.401,,,
-0.298,-0.258,0.052,-0.647,,,
-0.041,-0.126,0.112,-0.194,,,
-0.27,-0.288,-0.248,-0.293,,,
-0.477,-0.34,-0.414,-0.539,,,
-0.458,-0.337,-0.443,-0.472,,,
-0.351,-0.231,-0.319,-0.383,,,
-0.825,-0.704,-1.113,-0.537,,,
-0.716,-0.818,-1.005,-0.426,,,
-0.535,-0.414,-0.837,-0.234,,,
-0.522,-0.224,-0.798,-0.246,,,
-0.348,-0.195,-0.553,-0.143,,,
-0.307,-0.337,-0.414,-0.2,,,
-0.345,-0.32,-0.34,-0.35,,,
-0.456,-0.649,-0.299,-0.614,,,
-0.362,-0.429,-0.34,-0.385,,,
-0.449,-0.339,-0.517,-0.38,,,
-0.678,-0.669,-0.924,-0.432,,,
-0.895,-0.754,-1.281,-0.509,,,
-0.076,0.054,0.189,-0.341,,,
-0.25,-0.067,-0.263,-0.237,,,
-0.355,-0.211,-0.335,-0.375,,,
-0.288,-0.253,-0.316,-0.26,,,
-0.384,-0.353,-0.192,-0.576,,,
-0.369,-0.38,-0.289,-0.449,,,
-0.312,-0.371,-0.252,-0.373,,,
-0.297,-0.262,-0.181,-0.414,,,
-0.352,-0.292,-0.217,-0.487,,,
-0.504,-0.323,-0.649,-0.359,,,
-0.441,-0.301,-0.456,-0.425,,,
-0.503,-0.322,-0.655,-0.351,,,
-0.853,-0.882,-0.962,-0.745,,,
-0.593,-0.561,-0.586,-0.601,,,
-0.499,-0.459,-0.507,-0.491,,,
-0.544,-0.512,-0.558,-0.529,,,
-0.323,-0.397,-0.325,-0.322,,,
-0.113,-0.117,0.185,-0.41,,,
-0.26,-0.145,-0.127,-0.392,,,
-0.308,-0.274,0.024,-0.64,,,
-0.443,-0.445,-0.377,-0.508,,,
-0.603,-0.677,-0.694,-0.512,,,
-0.456,-0.453,-0.705,-0.207,,,
-0.59,-0.563,-0.908,-0.273,,,
-0.176,-0.043,-0.012,-0.34,,,
-0.467,-0.492,-0.76,-0.173,,,
-0.661,-0.558,-1.052,-0.271,,,
-0.448,-0.175,-0.736,-0.161,,,
-0.378,-0.256,-0.26,-0.496,,,
-0.196,-0.237,-0.064,-0.328,,,
-0.216,-0.096,-0.168,-0.263,,,
-0.212,-0.245,-0.202,-0.222,,,
-0.171,-0.085,-0.024,-0.318,,,
-0.269,-0.301,-0.219,-0.32,,,
-0.337,-0.228,-0.259,-0.415,,,
-0.461,-0.31,-0.655,-0.266,,,
-0.132,0.079,-0.101,-0.163,,,
-0.401,-0.177,-0.533,-0.269,,,
-0.682,-0.549,-0.868,-0.497,,,
-0.454,-0.266,-0.533,-0.375,,,
-0.572,-0.57,-0.752,-0.392,,,
-0.099,0.078,-0.035,-0.162,,,
-0.009,-0.001,0.083,-0.1,,,
-0.249,-0.258,-0.182,-0.317,,,
-0.378,-0.229,-0.362,-0.393,,,
-0.421,-0.337,-0.593,-0.248,,,
-0.298,-0.24,-0.275,-0.321,,,
-0.4,-0.339,-0.333,-0.467,,,
-0.405,-0.311,-0.501,-0.309,,,
-0.354,0.005,-0.319,-0.388,,,
-0.681,-0.615,-1.072,-0.291,,,
-0.421,-0.235,-0.596,-0.246,,,
-0.574,-0.541,-0.854,-0.294,,,
-0.35,-0.29,-0.356,-0.345,,,
-0.253,-0.239,-0.145,-0.361,,,
-0.33,-0.254,-0.171,-0.489,,,
-0.148,-0.09,-0.128,-0.167,,,
-0.125,-0.145,-0.132,-0.118,,,
-0.196,-0.338,-0.164,-0.228,,,
-0.445,-0.665,-0.422,-0.469,,,
-0.685,-0.649,-0.806,-0.564,,,
-0.693,-0.432,-1.003,-0.384,,,
-0.335,-0.073,-0.514,-0.156,,,
-0.363,-0.312,-0.285,-0.441,,,
-0.286,-0.098,-0.234,-0.337,,,
-0.298,-0.224,-0.068,-0.527,,,
-0.06,0.108,0.323,-0.442,,,
-0.193,-0.084,-0.122,-0.264,,,
-0.345,-0.211,-0.401,-0.288,,,
-0.23,-0.267,-0.238,-0.221,,,
-0.423,-0.468,-0.661,-0.186,,,
-0.314,-0.133,-0.295,-0.333,,,
-0.336,-0.278,-0.333,-0.338,,,
0.131,0.214,0.377,-0.114,,,
-0.626,-0.584,-0.806,-0.445,,,
-0.406,-0.209,-0.52,-0.291,,,
-0.31,-0.288,-0.178,-0.441,,,
-0.385,-0.399,-0.189,-0.58,,,
-0.417,-0.322,-0.164,-0.67,,,
-0.168,-0.092,0.053,-0.389,,,
-0.172,-0.221,-0.039,-0.304,,,
-0.293,-0.44,-0.221,-0.366,,,
-0.282,-0.371,-0.29,-0.274,,,
-0.537,-0.395,-0.674,-0.399,,,
-0.211,-0.094,-0.225,-0.197,,,
-0.454,-0.436,-0.607,-0.302,,,
-0.498,-0.401,-0.553,-0.444,,,
-0.333,-0.169,-0.391,-0.275,,,
-0.298,-0.148,-0.089,-0.507,,,
-0.231,-0.215,-0.053,-0.41,,,
-0.073,-0.024,0.078,-0.225,,,
-0.258,-0.247,-0.176,-0.341,,,
-0.202,-0.278,-0.084,-0.321,,,
-0.443,-0.405,-0.4,-0.486,,,
-0.266,-0.153,-0.203,-0.328,,,
-0.666,-0.694,-1.044,-0.289,,,
-0.558,-0.511,-0.843,-0.274,,,
-0.672,-0.568,-1.115,-0.228,,,
-0.172,-0.003,-0.235,-0.109,,,
-0.222,-0.13,-0.154,-0.29,,,
-0.362,-0.313,-0.449,-0.275,,,
-0.286,-0.229,-0.24,-0.333,,,
-0.082,-0.002,-0.028,-0.137,,,
-0.322,-0.229,-0.121,-0.523,,,
-0.361,-0.445,-0.329,-0.393,,,
-0.373,-0.481,-0.24,-0.507,,,
-0.523,-0.538,-0.871,-0.174,,,
-0.489,-0.582,-0.666,-0.312,,,
-0.599,-0.305,-0.826,-0.372,,,
-0.62,-0.402,-0.86,-0.38,,,
-0.524,-0.503,-0.594,-0.454,,,
-0.385,-0.171,-0.433,-0.337,,,
-0.142,-0.034,-0.035,-0.248,,,
-0.279,-0.206,-0.191,-0.368,,,
-0.146,-0.126,-0.043,-0.25,,,
0.009,-0.031,0.208,-0.191,,,
-0.176,-0.134,-0.024,-0.329,,,
