time,sunspots,,
1749.08 ,58.0 ,,
1749.17 ,62.6 ,,
1749.25 ,70.0 ,,
1749.33 ,55.7 ,,
1749.42 ,85.0 ,,
1749.50 ,83.5 ,,
1749.58 ,94.8 ,,
1749.67 ,66.3 ,,
1749.75 ,75.9 ,,
1749.83 ,75.5 ,,
1749.92 ,158.6 ,,
1750.00 ,85.2 ,,
1750.08 ,73.3 ,,
1750.17 ,75.9 ,,
1750.25 ,89.2 ,,
1750.33 ,88.3 ,,
1750.42 ,90.0 ,,
1750.50 ,100.0 ,,
1750.58 ,85.4 ,,
1750.67 ,103.0 ,,
1750.75 ,91.2 ,,
1750.83 ,65.7 ,,
1750.92 ,63.3 ,,
1751.00 ,75.4 ,,
1751.08 ,70.0 ,,
1751.17 ,43.5 ,,
1751.25 ,45.3 ,,
1751.33 ,56.4 ,,
1751.42 ,60.7 ,,
1751.50 ,50.7 ,,
1751.58 ,66.3 ,,
1751.67 ,59.8 ,,
1751.75 ,23.5 ,,
1751.83 ,23.2 ,,
1751.92 ,28.5 ,,
1752.00 ,44.0 ,,
1752.08 ,35.0 ,,
1752.17 ,50.0 ,,
1752.25 ,71.0 ,,
1752.33 ,59.3 ,,
1752.42 ,59.7 ,,
1752.50 ,39.6 ,,
1752.58 ,78.4 ,,
1752.67 ,29.3 ,,
1752.75 ,27.1 ,,
1752.83 ,46.6 ,,
1752.92 ,37.6 ,,
1753.00 ,40.0 ,,
1753.08 ,44.0 ,,
1753.17 ,32.0 ,,
1753.25 ,45.7 ,,
1753.33 ,38.0 ,,
1753.42 ,36.0 ,,
1753.50 ,31.7 ,,
1753.58 ,22.2 ,,
1753.67 ,39.0 ,,
1753.75 ,28.0 ,,
1753.83 ,25.0 ,,
1753.92 ,20.0 ,,
1754.00 ,6.7 ,,
1754.08 ,0.0 ,,
1754.17 ,3.0 ,,
1754.25 ,1.7 ,,
1754.33 ,13.7 ,,
1754.42 ,20.7 ,,
1754.50 ,26.7 ,,
1754.58 ,18.8 ,,
1754.67 ,12.3 ,,
1754.75 ,8.2 ,,
1754.83 ,24.1 ,,
1754.92 ,13.2 ,,
1755.00 ,4.2 ,,
1755.08 ,10.2 ,,
1755.17 ,11.2 ,,
1755.25 ,6.8 ,,
1755.33 ,6.5 ,,
1755.42 ,0.0 ,,
1755.50 ,0.0 ,,
1755.58 ,8.6 ,,
1755.67 ,3.2 ,,
1755.75 ,17.8 ,,
1755.83 ,23.7 ,,
1755.92 ,6.8 ,,
1756.00 ,20.0 ,,
1756.08 ,12.5 ,,
1756.17 ,7.1 ,,
1756.25 ,5.4 ,,
1756.33 ,9.4 ,,
1756.42 ,12.5 ,,
1756.50 ,12.9 ,,
1756.58 ,3.6 ,,
1756.67 ,6.4 ,,
1756.75 ,11.8 ,,
1756.83 ,14.3 ,,
1756.92 ,17.0 ,,
1757.00 ,9.4 ,,
1757.08 ,14.1 ,,
1757.17 ,21.2 ,,
1757.25 ,26.2 ,,
1757.33 ,30.0 ,,
